Temperatura,Humedad,VelocidadViento,Presion,HoraDia,DiaSemana,PM25
15.5,56.3,2.79,772.8,17,1,46.1
27.0,53.5,3.98,790.1,19,6,20.9
22.6,21.8,0.72,755.3,15,0,27.7
20.0,43.9,2.45,769.7,16,0,41.2
11.1,46.6,2.12,775.1,15,6,35.1
11.1,47.9,4.47,771.0,18,1,50.1
9.2,60.6,5.91,769.1,23,3,24.1
25.3,57.4,0.03,759.6,23,6,46.7
20.0,62.6,2.8,771.9,7,4,34.2
22.2,73.5,0.13,763.9,5,3,38.8
8.4,76.9,1.99,752.5,5,0,49.3
27.4,70.3,0.85,779.6,20,4,37.8
24.6,86.9,0.92,777.7,8,2,56.6
12.2,21.3,1.09,770.4,3,4,42.8
11.6,33.7,2.43,771.8,11,3,38.7
11.7,20.5,1.02,778.6,11,1,39.8
14.1,65.3,3.3,771.8,22,2,32.4
18.5,82.9,1.3,777.2,16,3,45.9
16.6,37.0,0.18,767.6,14,2,43.8
13.8,84.9,3.83,780.5,8,4,45.2
20.2,24.2,0.84,772.6,6,0,44.7
10.8,85.4,1.42,771.6,9,3,63.6
13.8,44.6,2.89,759.8,15,1,30.2
15.3,27.1,1.01,772.3,11,6,34.7
17.1,54.0,0.15,763.3,6,4,53.1
23.7,38.0,1.17,764.9,17,3,42.5
12.0,39.9,7.23,763.5,14,1,19.0
18.3,41.5,2.57,761.5,5,3,27.7
19.8,76.2,2.78,787.0,11,4,35.8
8.9,57.7,2.5,780.7,10,3,41.7
20.2,41.8,0.55,785.4,19,2,43.7
11.4,62.7,1.35,760.2,2,4,29.7
9.3,70.1,3.48,770.6,1,3,14.7
27.0,39.1,0.27,759.7,5,6,42.1
27.3,48.9,0.81,764.4,23,0,27.4
24.2,28.5,0.81,762.7,21,3,48.4
14.1,32.7,1.41,779.9,4,2,41.4
10.0,67.7,9.83,766.8,17,1,10.8
21.7,32.7,0.17,778.5,15,6,37.9
16.8,56.8,1.83,774.8,7,1,52.1
10.4,69.6,0.49,788.4,19,6,45.0
17.9,27.5,8.82,758.2,21,1,8.3
8.7,59.7,0.3,780.1,10,0,47.9
26.2,38.0,1.29,779.2,9,2,50.2
13.2,87.4,3.35,762.2,23,4,32.2
21.3,53.8,3.05,778.1,11,1,33.1
14.2,76.4,1.37,772.7,20,6,44.9
18.4,58.5,1.06,768.2,5,2,43.4
18.9,23.0,1.27,763.4,19,3,52.8
11.7,64.3,0.77,764.2,4,0,42.8
27.4,86.6,0.57,786.4,22,2,53.2
23.5,62.1,1.65,770.0,8,2,53.9
26.8,77.3,0.78,776.3,15,4,50.4
25.9,81.9,0.85,763.7,21,2,44.3
20.0,36.0,2.67,763.8,13,4,33.2
26.4,34.8,8.65,778.7,21,0,8.3
9.8,62.8,2.31,759.2,7,0,31.9
11.9,48.8,0.2,766.7,19,3,46.6
8.9,78.8,0.2,770.3,18,4,60.7
14.5,83.0,7.56,770.9,13,4,21.7
15.8,44.7,0.88,768.6,6,1,38.7
13.4,36.6,0.24,773.2,4,1,43.4
24.6,74.6,2.28,775.5,17,3,43.5
15.1,39.2,2.44,775.9,1,0,32.1
13.6,77.6,2.61,762.1,10,5,44.2
18.9,49.7,0.78,767.7,21,1,47.7
10.8,66.7,0.04,779.6,7,2,60.0
24.0,26.7,8.38,777.2,0,0,5.0
9.5,63.7,0.72,759.0,21,5,50.1
27.7,51.6,2.82,772.8,11,2,34.8
23.4,61.1,3.07,754.2,1,6,16.2
12.0,31.8,2.35,770.4,17,4,38.6
8.1,71.6,0.94,785.2,6,0,46.5
24.3,80.4,0.79,762.4,16,6,33.1
22.1,35.2,2.28,763.3,21,3,30.8
22.6,26.7,5.03,776.1,22,4,20.3
23.4,21.7,7.33,757.7,13,4,9.2
9.5,64.9,0.28,764.9,23,2,44.2
15.2,62.5,0.42,774.8,6,6,44.3
10.3,58.3,7.24,764.9,21,4,18.9
25.3,36.2,3.33,768.1,2,1,31.1
20.5,47.4,5.36,776.0,5,0,6.4
14.6,61.6,0.57,773.4,19,1,51.3
9.3,54.8,2.21,772.1,1,2,46.4
14.2,89.1,3.02,767.3,16,5,37.6
14.5,29.6,2.85,773.0,11,2,40.2
22.6,68.7,1.31,769.0,11,0,29.8
20.8,48.3,0.04,773.7,16,4,36.2
25.7,50.0,2.19,766.0,9,6,42.0
17.4,70.2,0.73,768.5,2,6,47.1
10.4,68.5,1.5,762.1,19,3,44.3
22.3,89.4,7.9,769.7,17,2,18.3
23.2,29.0,1.27,763.5,12,0,35.8
19.2,27.3,4.58,761.1,11,3,14.6
23.4,70.7,0.52,772.1,16,4,47.4
17.9,60.5,2.79,771.7,3,5,12.2
18.5,39.2,9.43,776.3,22,2,8.5
16.6,25.6,0.27,766.6,9,5,39.7
8.5,26.0,0.02,773.3,10,0,46.8
10.2,82.6,1.42,774.4,5,5,46.5
8.6,33.4,0.24,773.6,5,5,43.1
20.7,42.6,3.45,763.4,8,0,41.4
14.3,35.9,6.15,771.2,14,0,23.0
18.2,44.8,1.42,772.9,1,2,25.9
26.2,24.9,0.75,770.1,3,5,29.8
13.0,56.3,1.42,753.3,4,3,34.7
16.2,24.7,3.21,771.3,16,0,34.2
23.1,76.0,0.02,787.7,7,4,62.5
