muestra,amplitud_mV
0,7.848
1,7.804
2,7.776
3,7.8
4,7.84
5,7.8
6,7.78
7,7.82
8,7.848
9,7.796
10,7.788
11,7.804
12,7.848
13,7.828
14,7.764
15,7.8
16,7.816
17,7.824
18,7.776
19,7.796
20,7.84
21,7.84
22,7.8
23,7.788
24,7.82
25,7.864
26,7.808
27,7.796
28,7.844
29,7.856
30,7.812
31,7.768
32,7.852
33,7.864
34,7.836
35,7.824
36,7.82
37,7.86
38,7.824
39,7.78
40,7.816
41,7.868
42,7.84
43,7.796
44,7.82
45,7.824
46,7.856
47,7.78
48,7.784
49,7.832
50,7.848
51,7.78
52,7.788
53,7.824
54,7.852
55,7.808
56,7.776
57,7.828
58,7.876
59,7.84
60,7.804
61,7.82
62,7.852
63,7.82
64,7.768
65,7.796
66,7.868
67,7.828
68,7.788
69,7.816
70,7.852
71,7.86
72,7.804
73,7.792
74,7.844
75,7.864
76,7.816
77,7.8
78,7.84
79,7.888
80,7.864
81,7.864
82,7.92
83,8.008
84,8.0
85,7.932
86,8.0
87,8.024
88,8.044
89,8.032
90,8.08
91,8.168
92,8.124
93,8.112
94,8.092
95,8.108
96,8.092
97,8.06
98,8.016
99,8.036
100,8.024
101,7.972
102,7.908
103,7.892
104,7.92
105,7.832
106,7.792
107,7.852
108,7.904
109,7.852
110,7.78
111,7.844
112,7.884
113,7.852
114,7.808
115,7.8
116,7.864
117,7.844
118,7.816
119,7.804
120,7.86
121,7.86
122,7.832
123,7.816
124,7.868
125,7.88
126,7.844
127,7.82
128,7.852
129,7.88
130,7.808
131,7.744
132,7.784
133,7.996
134,8.276
135,8.732
136,9.376
137,10.176
138,10.868
139,10.344
140,9.512
141,9.052
142,8.62
143,8.076
144,7.712
145,7.524
146,7.536
147,7.696
148,7.884
149,7.996
150,8.06
151,8.016
152,7.968
153,8.008
154,8.036
155,7.948
156,7.964
157,8.028
158,8.064
159,8.004
160,7.976
161,8.044
162,8.072
163,8.044
164,8.008
165,8.032
166,8.052
167,8.064
168,8.024
169,8.028
170,8.112
171,8.096
172,8.084
173,8.044
174,8.132
175,8.16
176,8.128
177,8.124
178,8.172
179,8.22
180,8.18
181,8.172
182,8.224
183,8.292
184,8.276
185,8.264
186,8.308
