muestra,amplitud
0,-0.07421
1,-0.09085
2,-0.09029
3,-0.0912
4,-0.07838
5,-0.09918
6,-0.07587
7,-0.07256
8,-0.08315
9,-0.04685
10,-0.07875
11,-0.05237
12,-0.04554
13,-0.08134
14,-0.08801
15,-0.03852
16,-0.03018
17,-0.06288
18,-0.06218
19,-0.07734
20,-0.08413
21,-0.04568
22,-0.04019
23,-0.06347
24,-0.07579
25,-0.04649
26,-0.0511
27,-0.04575
28,-0.00696
29,-0.02099
30,-0.02509
31,-0.02763
32,-0.05316
33,-0.03008
34,-0.03829
35,-0.02623
36,-0.02101
37,-0.02433
38,-0.04912
39,-0.03958
40,0.0503
41,0.13443
42,0.17485
43,0.24964
44,0.35521
45,0.44793
46,0.56463
47,0.71701
48,0.79328
49,0.90086
50,0.9692
51,1.04117
52,1.07023
53,1.06098
54,1.03001
55,0.9432
56,0.85196
57,0.76351
58,0.67398
59,0.57395
60,0.41258
61,0.3207
62,0.23495
63,0.24762
64,0.24311
65,0.27625
66,0.31472
67,0.32107
68,0.31677
69,0.34424
70,0.37727
71,0.35575
72,0.38051
73,0.36857
74,0.36919
75,0.39396
76,0.34377
77,0.32695
78,0.34109
79,0.31088
80,0.28039
81,0.26933
82,0.2389
83,0.20123
84,0.1765
85,0.16652
86,0.15352
87,0.11901
88,0.08226
89,0.11598
90,0.07084
91,0.07233
92,0.03704
93,0.02703
94,0.04862
95,0.03835
96,0.00373
97,0.01745
98,0.03144
99,0.00357
100,0.04173
101,-0.00053
102,-0.00818
103,0.02155
104,0.00489
105,0.02386
106,0.00606
107,0.03321
108,0.00607
109,0.00701
110,-0.01705
111,0.00582
112,0.00231
113,0.00308
114,0.01107
115,0.01323
116,-0.00206
117,-0.00482
118,0.01589
119,-0.0017
120,-0.00695
121,0.00779
122,0.02233
123,0.11325
124,0.1883
125,0.22037
126,0.30791
127,0.42472
128,0.50085
129,0.61076
130,0.70345
131,0.87974
132,0.95674
133,1.06136
134,1.12561
135,1.15539
136,1.14482
137,1.08147
138,1.0364
139,0.91481
140,0.82197
141,0.68096
142,0.55648
143,0.43622
144,0.3447
145,0.26561
146,0.22831
147,0.2658
